id,transaction
74,frozen vegetables|whole wheat pasta|ground beef|spaghetti|chocolate|green tea
75,mineral water|barbecue sauce|chocolate
76,burgers|herb & pepper|energy bar|almonds|eggs|corn|mayonnaise|zucchini
77,turkey|burgers|ground beef|chocolate|soup|almonds|eggs|hot dogs|cottage cheese
78,ham|spaghetti|chocolate|eggs
79,ground beef|energy bar|pet food|carrots|protein bar
80,ground beef|tomato sauce|spaghetti|mineral water|almonds|eggs
81,mineral water|olive oil|gums|cooking oil
82,shrimp|pasta|mineral water|soup|avocado|milk|olive oil|green grapes|eggs|bug spray
83,shrimp|pasta|soup|cake|cooking oil|chicken|light mayo|low fat yogurt
84,spaghetti|mineral water|chocolate|french fries|champagne|escalope|mushroom cream sauce|fresh bread
85,shrimp|pasta|mineral water|eggs
86,burgers|oil|tomato juice|fresh bread
87,french wine|eggs|chocolate|low fat yogurt
88,chicken|eggs|french fries|pancakes
89,turkey|herb & pepper|salmon|white wine|candy bars
90,grated cheese|spaghetti|olive oil|eggs|french fries|green tea
91,mineral water|energy bar
92,eggs|french fries
93,burgers|tomatoes|mineral water|soup|milk|almonds|eggs|chocolate|tomato juice
94,tomatoes|spaghetti|frozen smoothie
95,ground beef|spaghetti|milk
96,chocolate|milk
97,burgers|shrimp|pasta|frozen vegetables|spaghetti|mineral water|milk|eggs|chocolate|french fries|pancakes|low fat yogurt
98,ground beef|mineral water|antioxydant juice|protein bar
99,grated cheese|whole wheat pasta|ground beef|spaghetti|cake|energy drink
100,carrots|green tea
101,turkey|burgers|chocolate|olive oil|eggs|cooking oil|corn
102,frozen vegetables|tomatoes|pepper|spaghetti|mineral water|pancakes|chicken|chili|tea|french fries|tomato juice|fresh bread
103,turkey|eggs|chocolate|frozen smoothie|tomato juice
104,frozen vegetables|cooking oil|mashed potato
105,frozen vegetables|ground beef|tomato sauce|mineral water|meatballs|olive oil|light cream|tomato juice
106,red wine|spaghetti|mineral water|soup|milk|eggs|cake|gums|cooking oil|chocolate|frozen smoothie
107,chocolate|tomatoes|spaghetti|mineral water|avocado|milk|olive oil|eggs|rice|french fries|brownies
108,chocolate|shrimp|pasta|frozen vegetables|ground beef|mineral water|nonfat milk|eggs
109,turkey|shrimp|pasta|pepper|spaghetti|mineral water|eggs|chicken|french fries
110,turkey|tomatoes|cake
111,yams|mineral water|soup|milk|pancakes|whole wheat rice|barbecue sauce|carrots|chocolate|champagne
112,chocolate|milk
113,shrimp|pasta|frozen vegetables|water spray
114,burgers|mineral water|milk|eggs|whole wheat rice|mint
115,mineral water|vegetables mix|cake|frozen smoothie|brownies
116,shrimp|pasta|chicken|chocolate bread
117,shrimp|pasta|spaghetti|eggs|hot dogs|green tea
118,red wine|ground beef|spaghetti|mineral water|milk|olive oil|strong cheese|light cream|cooking oil
119,burgers|grated cheese|spaghetti|avocado|milk|oil|french fries
120,herb & pepper|whole wheat pasta|ground beef|mineral water|olive oil
121,shrimp|pasta|yams|milk|chocolate
122,butter|green tea
123,herb & pepper|shrimp|pasta|spaghetti|milk
124,burgers|eggs
125,turkey|herb & pepper|ground beef|soup|avocado|milk|black tea|eggs|barbecue sauce|carrots|cookies|tomato juice|fresh bread
126,pepper|french fries|strawberries|pancakes|low fat yogurt
127,frozen vegetables|yams|chicken|honey|light mayo
128,chocolate|champagne
129,herb & pepper|honey|cake|rice|protein bar
130,burgers|chocolate|frozen vegetables|ground beef|mineral water|milk|light mayo|asparagus
131,chocolate|mineral water|corn|cottage cheese|green tea
132,ham|french wine|escalope
133,spaghetti|milk|whole wheat rice|mint green tea
134,chocolate|body spray
135,frozen vegetables|french fries|hot dogs
136,burgers|shrimp|pasta|milk|green tea|french fries|cookies|white wine
137,parmesan cheese|ground beef
138,pancakes|whole wheat rice|candy bars
139,eggs|eggplant|cookies
140,frozen vegetables|mineral water
141,turkey|spaghetti|milk|whole wheat rice|chocolate
142,whole wheat pasta|ground beef|spaghetti|soup|meatballs|chicken|blueberries|cooking oil|champagne|yogurt cake|protein bar
143,cooking oil|tomato juice
144,frozen vegetables|milk|eggs|french fries|green tea
145,fresh tuna|spaghetti|olive oil|french wine|eggs|french fries|champagne|pancakes|light mayo
146,red wine|honey|hot dogs
147,milk|bacon|eggs|french fries|fresh bread
148,french fries|yogurt cake
149,burgers|ham|red wine
150,shrimp|pasta|tomatoes|energy bar|french wine|antioxydant juice|french fries|frozen smoothie|brownies
151,turkey|spaghetti|mineral water|soup|spinach|soda|energy drink|salt
152,turkey|eggs
153,bug spray|hot dogs
154,soup|energy bar|chicken|eggs|cake|french fries|body spray|strawberries
155,spaghetti|chocolate|yogurt cake
156,turkey|mineral water|meatballs
157,ground beef|mineral water|chocolate|fromage blanc|bacon|hot dogs
158,frozen vegetables|mineral water|vegetables mix|escalope
159,herb & pepper|red wine|tomatoes
160,whole wheat pasta|olive oil|cereals|brownies|green tea
161,olive oil|cookies|mushroom cream sauce
162,ground beef|pancakes|cooking oil|gluten free bar|light mayo
163,mineral water|french fries
164,eggs|escalope
165,mineral water|tomato juice
166,shrimp|mineral water|soup|black tea
167,cake|frozen smoothie
168,turkey|burgers|grated cheese|tomatoes|chocolate|fromage blanc|honey|whole wheat rice
169,frozen vegetables|ground beef|mineral water|olive oil|pancakes
170,turkey|burgers|ground beef|milk|olive oil|cake|fresh bread
171,whole wheat pasta|ground beef|spaghetti|yams|mineral water|soup|chutney|cereals|energy drink|protein bar
172,eggs|whole wheat rice|cake|green tea|escalope
173,ground beef|yams|soup|avocado|salmon|green tea
174,spaghetti|chocolate
175,whole wheat pasta|honey
176,whole wheat pasta|green tea
177,spaghetti|meatballs|vegetables mix|chocolate
178,eggs|low fat yogurt
179,fresh tuna|shrimp|pasta|mineral water|olive oil|eggs|cake|brownies|tomato juice
180,mineral water|green grapes|hot dogs|fresh bread
181,frozen vegetables|meatballs|eggs|chocolate
182,meatballs|milk
183,escalope|pasta
184,pepper|chocolate|olive oil|french wine|salmon|rice|light mayo|fresh bread|magazines
185,red wine|french wine|vegetables mix|rice|clothes accessories|hot dogs|green tea
186,burgers|dessert wine|spaghetti|chicken|cake|protein bar|green tea
187,french wine|cake|fresh bread
188,burgers|frozen vegetables|flax seed|eggs
189,pepper|mineral water|energy bar|green grapes
190,milk|eggs|cake|chocolate|french fries|green tea
191,burgers|mineral water|green tea
192,milk|pancakes
193,pancakes|eggs|salt|tomato juice
194,ham|spaghetti|mineral water|olive oil
195,salt|tomato juice|fresh bread
196,spaghetti|mushroom cream sauce
197,spaghetti|mineral water|eggs|pet food
198,frozen vegetables|spaghetti
199,turkey|milk
200,spaghetti|mineral water|eggs|cooking oil|chocolate|escalope
201,shrimp|frozen vegetables|pepper|spaghetti|green tea
202,burgers|fresh tuna|red wine|mineral water|french fries|hand protein bar|low fat yogurt
203,pancakes|eggs|energy drink|fresh bread
204,strong cheese|salmon|green tea|french fries|frozen smoothie|hot dogs
205,grated cheese|shrimp|pasta|tomatoes|milk|frozen smoothie|sandwich
206,herb & pepper|whole wheat pasta|olive oil|pancakes|eggs
207,spaghetti|antioxydant juice
208,chocolate|milk|almonds|eggs|strawberries|white wine
209,french fries|strawberries
210,whole wheat pasta|antioxydant juice|body spray|green tea
211,mineral water|oil|frozen smoothie
212,french fries|champagne
213,chocolate|french fries
214,frozen vegetables|spaghetti|eggs
215,chocolate|cookies
216,shrimp|butter|chicken|salmon
217,chocolate|cookies|babies food
218,pepper|spaghetti|cake|chocolate|french fries|fresh bread
219,avocado|oil|cereals|french fries
220,herb & pepper|spaghetti|mineral water|spinach|eggs|oil|cooking oil|green tea|shampoo|tomato juice|low fat yogurt
221,herb & pepper|frozen vegetables|ground beef|pepper|spaghetti|mint green tea|french fries
222,green tea|tomato juice
223,eggs|whole wheat rice|chocolate
224,grated cheese|herb & pepper|red wine|spaghetti|mineral water|salmon|eggs|cooking oil|green tea
225,french fries|cookies|shallot|tomato juice|fresh bread|low fat yogurt
226,burgers|fresh tuna|spaghetti|muffins|honey
227,herb & pepper|ground beef|spaghetti|eggs|chicken
228,grated cheese|muffins|tomato juice|mayonnaise
229,whole wheat pasta|yams|mineral water|muffins|frozen smoothie|hot dogs|energy drink
230,burgers|spaghetti|soup|milk|olive oil|salmon|eggs|blueberries
231,chocolate|champagne|magazines
232,frozen vegetables|spaghetti|yams|mineral water|french wine|green grapes|rice|chocolate
233,tomato sauce|chocolate
234,milk|eggs
235,escalope|pasta
236,herb & pepper|ground beef
237,mineral water|honey|brownies
238,turkey|eggs|cake|energy drink
239,turkey|burgers|dessert wine|ground beef|soup|salmon|eggs|gums|tomato juice|candy bars
240,spaghetti|mineral water|chicken
241,turkey|ground beef|carrots|french fries|melons
242,mineral water|eggs|low fat yogurt
243,turkey|cooking oil|shampoo
244,spaghetti|hot dogs
245,chocolate|green tea
246,grated cheese|pepper|mineral water|chocolate|eggs|cake|mashed potato|tomato juice
247,spaghetti|olive oil|strong cheese|pancakes
248,red wine|mineral water|soup|rice|cookies
249,red wine|shrimp|spaghetti
250,mineral water|chicken|french fries|frozen smoothie
251,cake|chocolate
252,fresh tuna|tomatoes|mineral water|soup|avocado|meatballs|olive oil
253,turkey|french fries
254,burgers|turkey|herb & pepper|ground beef|pancakes|eggs|light cream|rice|champagne|fresh bread
255,chocolate|escalope|fresh bread
256,ham|spaghetti|french wine|vegetables mix|chocolate|french fries
257,avocado|light mayo
258,spaghetti|yams|butter|chocolate
259,energy bar|eggs|french fries
260,fresh tuna|barbecue sauce|eggplant
261,whole wheat rice|french fries|hot dogs|green tea
262,mineral water|chicken|green tea
263,eggs|cake|mushroom cream sauce
264,antioxydant juice|escalope
265,shrimp|spaghetti|french fries
266,grated cheese|spaghetti|salmon|tomato juice
267,spaghetti|green tea
268,champagne|protein bar
269,mineral water|avocado|chocolate
270,tomatoes|champagne|green tea
271,chicken|french fries|escalope
272,frozen vegetables|tomatoes|eggs|green tea|frozen smoothie|light mayo
273,ground beef|chicken|cider|green grapes|honey|chocolate|french fries|champagne|frozen smoothie|escalope
274,french fries|champagne
275,mineral water|soup
276,frozen vegetables|spaghetti|milk|chocolate|babies food
277,honey|whole wheat rice
278,whole wheat rice|chicken|tomato juice
279,green tea|protein bar|tomato juice|candy bars
280,grated cheese|herb & pepper|whole wheat pasta|yams|mineral water|bacon|nonfat milk|spinach
281,spaghetti|milk
282,milk|chocolate|white wine
283,chocolate|light mayo
284,shrimp|whole wheat pasta|spaghetti|meatballs|chicken|frozen smoothie|tomato juice
285,red wine|ground beef|spaghetti|mineral water|eggs
286,yams|melons
287,spaghetti|cooking oil
288,mineral water|milk|spinach|cooking oil|chocolate|frozen smoothie|hot dogs
289,tomato sauce|milk
290,shrimp|cider|eggs|french fries
291,frozen vegetables|mineral water|energy bar|honey|rice|green tea
292,french fries|salad
293,honey|chocolate|french fries|brownies
294,green tea|strawberries|gluten free bar
295,frozen vegetables|ground beef|mineral water|salmon|honey|extra dark chocolate|green tea|mushroom cream sauce|gluten free bar
296,grated cheese|tomatoes|mineral water|meatballs
297,shrimp|chocolate|water spray
298,turkey|eggs
299,turkey|frozen vegetables|tomatoes|soup|butter|french wine|pancakes|eggs|tomato juice|fresh bread|green tea
300,milk|frozen smoothie|low fat yogurt
301,burgers|mineral water|milk|whole wheat rice|cereals|chocolate|french fries
302,tomatoes|mineral water|soup|cake|chocolate
303,ground beef|spaghetti
304,pepper|frozen smoothie
305,red wine|pancakes
306,eggs|french fries|low fat yogurt
307,spaghetti|soup|vegetables mix|spinach|french fries|escalope|cauliflower|toothpaste
308,soup|olive oil|eggs|soda|corn
309,chocolate|frozen smoothie|low fat yogurt
310,spaghetti|mineral water|milk|pancakes|chocolate|french fries
311,herb & pepper|frozen vegetables|tomato sauce|mineral water|soup|milk|olive oil|almonds
312,burgers|eggs
313,frozen smoothie|cottage cheese
314,tomatoes|mineral water|chocolate|light mayo
315,salmon|escalope|shallot|strawberries|fresh bread|low fat yogurt
316,red wine|ground beef|spaghetti|pancakes|blueberries|oil|cooking oil|tomato juice
317,ground beef|spaghetti|mineral water|milk|frozen smoothie|champagne
318,salmon|escalope
319,red wine|butter|hot dogs
320,tomatoes|mineral water|soup|mashed potato
321,parmesan cheese|ground beef|salmon|pancakes|champagne
322,ground beef|yams|chocolate|olive oil|eggs
323,shrimp|salmon|eggs|cookies|hot dogs
324,magazines|mint
325,turkey|mineral water|eggs|cooking oil|extra dark chocolate|escalope
326,mineral water|mushroom cream sauce
327,grated cheese|frozen vegetables|mineral water|soup|milk|french wine
328,chocolate|cake
329,burgers|salt|white wine
330,olive oil|cake|energy drink
331,ground beef|whole wheat rice
332,eggs|french fries
333,spaghetti|escalope|mushroom cream sauce
334,mineral water|fromage blanc|whole wheat rice|cake|french fries
335,turkey|burgers|frozen vegetables|ground beef|mineral water|milk|eggs|cake|light mayo
336,green tea|cottage cheese
337,fresh tuna|eggs|champagne
338,tomatoes|mineral water|eggplant
339,grated cheese|tomatoes|spaghetti|mineral water|soup|honey|chicken|chocolate|french fries
340,herb & pepper|red wine|shrimp|mineral water|barbecue sauce|protein bar
341,burgers|ham|spaghetti|mineral water|milk|eggs|french fries|escalope|pancakes|low fat yogurt
342,frozen vegetables|soup|milk|eggs|whole wheat rice|chocolate|escalope|melons
343,herb & pepper|shrimp|soup|eggs|oil|cooking oil|energy drink|protein bar|low fat yogurt
344,ham|grated cheese|herb & pepper|shrimp|ground beef|spaghetti|mineral water|carrots
345,ham|red wine|ground beef|yams|mineral water|chocolate|low fat yogurt
346,chocolate|french fries|mushroom cream sauce|cottage cheese|low fat yogurt
347,cake|cookies
348,grated cheese|mineral water|cake|chocolate bread
349,tomatoes|almonds|cake|champagne|low fat yogurt
350,herb & pepper|shrimp|frozen vegetables|milk|butter|salmon|eggs|chocolate
351,herb & pepper|shrimp|whole wheat pasta|whole wheat rice|chicken|green tea|cauliflower
352,eggs|corn
353,shrimp|frozen vegetables|tomato sauce|mineral water|chocolate|soup|olive oil|salmon|green beans|champagne
354,ham|herb & pepper|tomato sauce|mineral water|green grapes|eggs|gums|light cream|oil|green tea|mint
355,energy bar|cake|chocolate
356,herb & pepper|shrimp|spaghetti|eggs
357,fresh tuna|mineral water|honey|cooking oil
358,red wine|mineral water|oil|ketchup|chili|pet food|eggplant|green tea|escalope|tomato juice|low fat yogurt
359,herb & pepper|shrimp|mineral water|pancakes|eggs|cake|blueberries|tea|frozen smoothie
360,ground beef|mineral water|protein bar
361,shrimp|frozen vegetables|parmesan cheese|spaghetti|salmon|carrots|frozen smoothie|pasta|mashed potato|shallot|light mayo|magazines
362,milk|chocolate
363,frozen vegetables|ground beef|spaghetti|olive oil|whole wheat rice|eggplant|cottage cheese
364,turkey|ground beef|low fat yogurt
365,herb & pepper|spaghetti|mineral water|whole wheat rice|cake|hot dogs|green tea
366,eggs|cookies
367,spaghetti|eggs|ham|chocolate|french fries|champagne|brownies|pancakes|light mayo
368,red wine|spaghetti|milk|eggs|chocolate
369,turkey|burgers|pancakes|french fries|strawberries|green tea
370,frozen vegetables|pancakes|eggs|cake
371,turkey|ground beef|pepper|spaghetti|honey|cookies
372,chocolate|red wine|tomato sauce|olive oil|chili|french fries|cookies|salt|fresh bread|magazines
373,green tea|french fries
374,frozen vegetables|spaghetti
375,ham|spaghetti
376,chicken|chocolate|cookies
377,eggs|cake|low fat yogurt
378,shrimp|spaghetti|mineral water|soup|milk|bramble|frozen smoothie|cottage cheese
379,mineral water|eggs|protein bar
380,turkey|shrimp|meatballs|butter|eggs|salad|green tea
381,fresh tuna|spaghetti|chocolate|olive oil|chicken|french fries
382,turkey|shrimp|escalope|hot dogs
383,burgers|pepper|soup|milk|pancakes|green tea
384,mineral water|pancakes|eggs|french fries
385,eggs|escalope|low fat yogurt
386,mineral water|french wine|gluten free bar
387,burgers|ground beef|spaghetti|eggs|french fries
388,soup|meatballs|milk|energy bar
389,turkey|red wine|mineral water|eggs|bramble
390,burgers|ham|frozen vegetables|tomatoes|cake|chicken|green tea|toothpaste|mint
391,grated cheese|mineral water|olive oil|energy bar
392,milk|cake|green tea
393,mineral water|almonds|cooking oil|cereals|protein bar|white wine|green tea
394,turkey|fresh tuna|mineral water|milk|eggs|cake|burger sauce|chicken|french fries|frozen smoothie|fresh bread
395,herb & pepper|mineral water|whole wheat rice|yogurt cake|low fat yogurt
396,tomatoes|spaghetti|meatballs|chicken|eggs
397,burgers|mineral water|eggs|green tea|pancakes
398,cake|green tea
399,chocolate|herb & pepper|yogurt cake
400,ground beef|spaghetti|mineral water|almonds|salmon|nonfat milk|green grapes|pancakes
401,mineral water|vegetables mix|eggs
402,eggs|eggplant
403,milk|bug spray|oatmeal|sandwich|asparagus
404,frozen vegetables|soup|almonds|eggs|french fries
405,soup|butter|shampoo
406,herb & pepper|whole wheat pasta|pepper|eggs
407,mineral water|whole wheat rice|rice|cooking oil|chocolate|fresh bread|low fat yogurt
408,grated cheese|butter|chocolate|french fries|cookies
409,spaghetti|soup|milk|chutney|cooking oil|asparagus|tomato juice
410,eggs|french fries|frozen smoothie|cookies|champagne|cottage cheese|green tea
411,turkey|tomatoes|mineral water|eggs|blueberries
412,milk|tomato juice|low fat yogurt|green tea
413,mineral water|soup|almonds|cereals|green tea
414,chocolate|light mayo
415,turkey|herb & pepper|chocolate
416,eggs|french fries|green tea
417,mineral water|cake|chocolate|tomato juice
418,chocolate|pepper|spaghetti|mineral water|whole wheat rice|champagne|mushroom cream sauce
419,frozen vegetables|pepper|mineral water|chocolate|white wine
420,burgers|turkey|spaghetti|milk|whole wheat rice|oil|tomato juice|green tea
421,burgers|spaghetti|mineral water|soup|french wine|french fries|light mayo|low fat yogurt
422,butter|green grapes|frozen smoothie|low fat yogurt
423,eggs|low fat yogurt
424,milk|energy drink
425,olive oil|energy drink
426,eggs|cookies
427,energy bar|eggs
428,eggs|green tea
429,shrimp|soup|milk|almonds|eggs|oil|chocolate
430,chocolate|french fries
431,pancakes|eggs|cake|green tea|toothpaste
432,herb & pepper|tomatoes|ground beef|eggs|cooking oil
433,cider|eggs|chocolate|low fat yogurt
434,frozen vegetables|cider|eggs|french fries
435,yams|cookies|toothpaste
436,mineral water|milk|escalope|champagne|hot dogs|fresh bread
437,ham|herb & pepper|spaghetti|mineral water|chocolate|pancakes|eggs
438,pepper|mineral water|escalope|shallot|protein bar|white wine
439,turkey|parmesan cheese|spaghetti|meatballs|butter
440,herb & pepper|eggs|escalope
441,burgers|escalope|shallot
442,chocolate|pepper|tomato sauce|tomato juice
443,burgers|ground beef|spaghetti|mineral water|escalope|melons
444,frozen vegetables|mineral water|soup|milk|olive oil
445,turkey|eggs|french fries|asparagus|low fat yogurt|zucchini
446,burgers|frozen vegetables|gums
447,herb & pepper|frozen vegetables|ground beef|milk
448,frozen vegetables|cake|light cream|mashed potato
449,turkey|eggs|barbecue sauce
450,parmesan cheese|french fries
451,energy bar|eggs
452,soup|escalope|mint
453,muffins|chicken|zucchini
454,burgers|eggs|french fries|cookies|green tea
455,avocado|energy bar|chocolate
456,whole wheat pasta|spaghetti|mineral water|olive oil
457,grated cheese|frozen vegetables|eggs|gums|escalope|low fat yogurt
458,grated cheese|herb & pepper|mineral water|pancakes|chocolate|escalope|tomato juice
459,chocolate|spaghetti|yams|flax seed|salmon|frozen smoothie
460,burger sauce|oil
461,eggs|french fries|energy drink
462,grated cheese|ground beef|mineral water|olive oil
463,eggs|low fat yogurt
464,parmesan cheese|spaghetti|soda|pet food|white wine
465,turkey|shrimp|olive oil|chicken|eggs|extra dark chocolate|melons|fresh bread
466,pickles|ground beef|yams|milk|strong cheese|salmon|muffins|french fries|escalope
467,pepper|spaghetti|light cream
468,frozen vegetables|mineral water|eggs
469,spaghetti|chicken|tea|pancakes|gluten free bar
470,fresh tuna|turkey|herb & pepper|spaghetti|mineral water|mint
471,spaghetti|mineral water|cooking oil|escalope
472,burgers|herb & pepper|spaghetti
473,cookies|shallot|strawberries
474,fresh tuna|chocolate|shrimp|whole wheat pasta|pepper|mineral water|soup|milk|salmon
475,yams|mineral water|avocado|milk|butter|cooking oil|chocolate|cottage cheese
476,ham|eggs|french fries|energy drink
477,mineral water|avocado
478,chocolate|butter|eggs|green tea|cottage cheese|mayonnaise
479,eggs|mushroom cream sauce|low fat yogurt
480,antioxydant juice|chocolate
481,ground beef|spaghetti|french fries|green tea
482,turkey|red wine|mineral water|pancakes|eggs|whole wheat rice|cooking oil|chocolate|zucchini
483,chocolate|parmesan cheese|mineral water|olive oil|bacon
484,green grapes|gums
485,shrimp|frozen vegetables|parmesan cheese|milk|eggs|cooking oil|chocolate|french fries
486,ground beef|mineral water|milk|eggs
487,turkey|cookies
488,ground beef|mineral water|chocolate|green tea
489,whole wheat pasta|spaghetti|olive oil|butter|chocolate|french fries|tomato juice|low fat yogurt
490,frozen vegetables|mineral water|eggs|gums|cooking oil|frozen smoothie|cottage cheese|low fat yogurt
491,turkey|grated cheese|energy bar|vegetables mix|brownies
492,turkey|burgers|nonfat milk|cooking oil|energy drink
493,french fries|low fat yogurt
494,herb & pepper|mineral water|salmon|whole wheat rice|cake|green tea
495,mineral water|cake|chocolate|low fat yogurt|candy bars
496,grated cheese|mineral water|chocolate|soup|milk|olive oil|light cream|chicken
497,mineral water|strawberries
498,grated cheese|parmesan cheese|butter|whole wheat rice|cooking oil
499,ground beef|mint
500,ground beef|avocado|milk|chicken|rice
501,frozen vegetables|soup|eggs|low fat yogurt
502,herb & pepper|ground beef|spaghetti|mineral water|chocolate|black tea|french wine|pancakes|rice|green tea|toothpaste
503,shrimp|parmesan cheese|mineral water|eggs|cake|oil|cooking oil|toothpaste|low fat yogurt
504,ham|herb & pepper|frozen vegetables|tomatoes|spaghetti|olive oil|black tea|vegetables mix|cooking oil|green tea|frozen smoothie|mint
505,chicken|cider|eggs
506,shrimp|tomato sauce|mineral water|chocolate|escalope|mint
507,ham|spaghetti|mineral water|energy bar|eggs|cooking oil|pancakes|fresh bread|low fat yogurt
508,shrimp|frozen vegetables|tomatoes
509,turkey|herb & pepper|frozen vegetables|ground beef|yams|mineral water|salmon
510,shrimp|mineral water
511,turkey|ground beef|spaghetti|soup|escalope|yogurt cake
512,shrimp|pepper|mineral water|soup|milk|eggs|rice|barbecue sauce|clothes accessories|cookies
513,burgers|pancakes
514,mineral water|milk
515,whole wheat pasta|mineral water|olive oil|pancakes
516,yams|mineral water|eggs|cake
517,turkey|french fries
518,shrimp|spaghetti|yams|mineral water|chocolate|olive oil|light cream|chicken|green tea|french fries|sandwich|white wine
519,mineral water|milk|salmon|green tea|cookies|fresh bread
520,spaghetti|olive oil
521,herb & pepper|spaghetti
522,spaghetti|mineral water|soup|salmon|pancakes|chicken|mint green tea|low fat yogurt
523,frozen vegetables|whole wheat pasta|ground beef|mineral water|chocolate|milk|olive oil|almonds|french wine|yogurt cake|fresh bread
524,burgers|grated cheese|spaghetti|nonfat milk|eggs|gums|chocolate|tomato juice|low fat yogurt
525,ham|ground beef|olive oil|energy bar|chicken|brownies|white wine
526,whole wheat pasta|mineral water|olive oil|cooking oil|frozen smoothie|green tea
527,vegetables mix|champagne
528,herb & pepper|ground beef|escalope|pancakes|green tea
529,herb & pepper|frozen vegetables|ground beef|tomato sauce|spaghetti|mineral water|milk|french wine|eggs|whole wheat rice|chocolate|escalope|hot dogs|green tea
530,yams|carrots
531,turkey|burgers|herb & pepper|ground beef|yams|mineral water|avocado|milk|almonds|muffins|eggs|french fries
532,whole wheat pasta|salmon|antioxydant juice|mint green tea
533,chocolate|french fries|strawberries|fresh bread
534,burgers|chocolate|shrimp|whole wheat pasta|ground beef|soup|energy bar| asparagus
535,mineral water|butter|pancakes|french fries|frozen smoothie|white wine|low fat yogurt
536,muffins|eggs
537,turkey|shrimp|frozen vegetables|eggs
538,burgers|eggs|yogurt cake
539,burgers|fresh tuna|shrimp|frozen vegetables|whole wheat pasta|yams|mineral water|olive oil|almonds|cake|chicken|extra dark chocolate
540,herb & pepper|ground beef|mineral water|chicken
541,chicken|tomato juice
542,whole wheat pasta|olive oil
543,milk|energy bar|green tea
544,grated cheese|herb & pepper
545,escalope|green tea
546,soup|meatballs|milk|almonds|green tea
547,herb & pepper|pet food|cookies
548,grated cheese|whole wheat pasta|olive oil|energy bar|light cream|oil|french fries|pancakes|low fat yogurt
549,parmesan cheese|mineral water|fromage blanc|eggs|honey|frozen smoothie
550,bramble|zucchini
